skill_slug,language,name
accounting,fr-CH,Comptabilité
accounting,de-CH,Buchhaltung
bicycle-repair,fr-CH,Réparation de vélos
bicycle-repair,de-CH,Veloreparatur
budgeting,fr-CH,Budgétisation
budgeting,de-CH,Budgetierung
building-retrofit,fr-CH,Bâtiment et rénovation
building-retrofit,de-CH,Bauen & Sanieren
carpentry,fr-CH,Menuiserie et travail du bois
carpentry,de-CH,Schreinern & Holzarbeit
community-outreach,fr-CH,Mobilisation communautaire
community-outreach,de-CH,Quartier- und Gemeinschaftsarbeit
cooking,fr-CH,Cuisine
cooking,de-CH,Kochen
copywriting,fr-CH,Rédaction
copywriting,de-CH,Texten
data-analysis,fr-CH,Analyse de données
data-analysis,de-CH,Datenanalyse
driving-transport,fr-CH,Conduite et transport
driving-transport,de-CH,Fahren & Transport
ecology-biodiversity,fr-CH,Écologie et biodiversité
ecology-biodiversity,de-CH,Ökologie & Biodiversität
electronics-repair,fr-CH,Réparation électronique
electronics-repair,de-CH,Elektronikreparatur
energy-engineering,fr-CH,Ingénierie énergétique
energy-engineering,de-CH,Energietechnik
event-planning,fr-CH,Organisation d'événements
event-planning,de-CH,Veranstaltungsorganisation
facilitation,fr-CH,Animation / facilitation
facilitation,de-CH,Moderation
finance-investment,fr-CH,Finance et investissement
finance-investment,de-CH,Finanzen & Investment
first-aid,fr-CH,Premiers secours
first-aid,de-CH,Erste Hilfe
food-safety,fr-CH,Hygiène et sécurité alimentaire
food-safety,de-CH,Lebensmittelhygiene
fundraising,fr-CH,Levée de fonds
fundraising,de-CH,Mittelbeschaffung
gardening,fr-CH,Jardinage
gardening,de-CH,Gärtnern
gis-mapping,fr-CH,SIG et cartographie
gis-mapping,de-CH,GIS & Kartierung
grant-writing,fr-CH,Rédaction de demandes de subvention
grant-writing,de-CH,Fördergesuche schreiben
graphic-design,fr-CH,Graphisme
graphic-design,de-CH,Grafikdesign
horticulture,fr-CH,Horticulture
horticulture,de-CH,Gartenbau
insurance-knowledge,fr-CH,Connaissances en assurance
insurance-knowledge,de-CH,Versicherungswissen
inventory-management,fr-CH,Gestion d'inventaire
inventory-management,de-CH,Inventarverwaltung
journalism-writing,fr-CH,Journalisme et écriture
journalism-writing,de-CH,Journalismus & Schreiben
legal,fr-CH,Droit
legal,de-CH,Recht
logistics,fr-CH,Logistique
logistics,de-CH,Logistik
marketing,fr-CH,Marketing
marketing,de-CH,Marketing
negotiation,fr-CH,Négociation
negotiation,de-CH,Verhandlung
partnership-development,fr-CH,Développement de partenariats
partnership-development,de-CH,Partnerschaftsaufbau
permitting-admin,fr-CH,Autorisations et administration
permitting-admin,de-CH,Bewilligungen & Administration
photography,fr-CH,Photographie
photography,de-CH,Fotografie
project-management,fr-CH,Gestion de projet
project-management,de-CH,Projektmanagement
public-speaking,fr-CH,Prise de parole en public
public-speaking,de-CH,Öffentliches Auftreten
safety-management,fr-CH,Gestion de la sécurité
safety-management,de-CH,Sicherheitsmanagement
sewing-textiles,fr-CH,Couture et textile
sewing-textiles,de-CH,Nähen & Textilien
social-media,fr-CH,Réseaux sociaux
social-media,de-CH,Social Media
surveying-research,fr-CH,Recherche et enquêtes
surveying-research,de-CH,Recherche & Erhebungen
teaching,fr-CH,Enseignement et formation
teaching,de-CH,Unterrichten & Ausbilden
translation,fr-CH,Traduction
translation,de-CH,Übersetzung
volunteer-coordination,fr-CH,Coordination de bénévoles
volunteer-coordination,de-CH,Freiwilligenkoordination
waste-management,fr-CH,Connaissances en gestion des déchets
waste-management,de-CH,Abfall- & Recyclingwissen
web-development,fr-CH,Développement web
web-development,de-CH,Webentwicklung
