skill_slug,name,category
accounting,Accounting,Finance
bicycle-repair,Bicycle Repair,Trades
budgeting,Budgeting,Finance
building-retrofit,Building & Retrofit,Trades
carpentry,Carpentry & Woodwork,Trades
community-outreach,Community Outreach,Outreach
cooking,Cooking,Food
copywriting,Copywriting,Communication
data-analysis,Data Analysis,Technical
driving-transport,Driving & Transport,Trades
ecology-biodiversity,Ecology & Biodiversity,Green Skills
electronics-repair,Electronics Repair,Trades
energy-engineering,Energy Engineering,Technical
event-planning,Event Planning,Coordination
facilitation,Facilitation,Outreach
finance-investment,Finance & Investment,Finance
first-aid,First Aid,Coordination
food-safety,Food Safety & Hygiene,Food
fundraising,Fundraising,Finance
gardening,Gardening,Green Skills
gis-mapping,GIS & Mapping,Technical
grant-writing,Grant Writing,Finance
graphic-design,Graphic Design,Creative
horticulture,Horticulture,Green Skills
insurance-knowledge,Insurance Knowledge,Admin & Legal
inventory-management,Inventory Management,Coordination
journalism-writing,Journalism & Writing,Communication
legal,Legal,Admin & Legal
logistics,Logistics,Coordination
marketing,Marketing,Communication
negotiation,Negotiation,Admin & Legal
partnership-development,Partnership Development,Outreach
permitting-admin,Permits & Administration,Admin & Legal
photography,Photography,Creative
project-management,Project Management,Coordination
public-speaking,Public Speaking,Outreach
safety-management,Safety Management,Coordination
sewing-textiles,Sewing & Textiles,Trades
social-media,Social Media,Communication
surveying-research,Research & Surveying,Technical
teaching,Teaching & Training,Outreach
translation,Translation,Communication
volunteer-coordination,Volunteer Coordination,Coordination
waste-management,Waste & Recycling Knowledge,Green Skills
web-development,Web Development,Technical
