blueprint_slug,language,title,summary
litter-pick,fr-CH,Ramassage de déchets / Nettoyage de rivière,"Organiser une journée de nettoyage communautaire d'un parc, d'une rue, d'une berge ou d'un sentier."
litter-pick,de-CH,Abfallsammelaktion / Flussuferreinigung,"Eine eintägige gemeinschaftliche Reinigung eines Parks, einer Strasse, eines Flussufers oder eines Wegs organisieren."
repair-cafe,fr-CH,Repair Café,"Organiser un événement éphémère où des réparateur·trice·s bénévoles aident les voisin·e·s à réparer électronique, vêtements, vélos et meubles."
repair-cafe,de-CH,Repair Café,"Einen Anlass durchführen, an dem freiwillige Reparaturprofis Nachbarinnen und Nachbarn beim Reparieren von Elektronik, Kleidern, Velos und Möbeln helfen."
clothing-swap,fr-CH,Troc de vêtements,Organiser un événement où l'on échange des vêtements de qualité au lieu d'en acheter des neufs.
clothing-swap,de-CH,Kleidertauschbörse,"Einen Anlass organisieren, an dem gut erhaltene Kleider getauscht statt neu gekauft werden."
seed-plant-swap,fr-CH,Bourse aux graines et aux plantes,"Organiser un échange saisonnier de graines, plantons et boutures pour les jardinier·ère·s de la région."
seed-plant-swap,de-CH,Samen- und Pflanzentauschbörse,"Einen saisonalen Tausch von Samen, Setzlingen und Ablegern für Gärtnerinnen und Gärtner der Region durchführen."
beach-lake-cleanup,fr-CH,Nettoyage de plage / rive de lac,Organiser un nettoyage de rivage avec tri des déchets et collecte facultative de données de science citoyenne.
beach-lake-cleanup,de-CH,Strand- / Seeuferreinigung,Eine Uferreinigung mit Abfalltrennung und optionaler Citizen-Science-Datenerhebung durchführen.
fruit-rescue,fr-CH,Récolte communautaire de fruits (sauvetage de fruits),"Cueillir les fruits non récoltés d'arbres privés et publics et les distribuer aux cueilleur·euse·s, aux propriétaires et aux œuvres d'entraide."
fruit-rescue,de-CH,Gemeinschaftliche Obsternte (Obst retten),"Nicht geerntetes Obst von privaten und öffentlichen Bäumen pflücken und an Pflückende, Eigentümer und Hilfswerke verteilen."
disco-soup,fr-CH,Cuisine anti-gaspi (Disco Soupe),"Cuisiner et partager un repas public préparé avec des invendus alimentaires, en musique et en parlant du gaspillage alimentaire."
disco-soup,de-CH,Foodwaste-Kochanlass (Disco Soup),Aus geretteten Lebensmitteln gemeinsam ein öffentliches Essen kochen – mit Musik und Gesprächen über Food Waste.
book-toy-swap,fr-CH,Troc de livres et de jouets,"Un événement d'échange familial pour livres, jeux et jouets."
book-toy-swap,de-CH,Bücher- / Spielsachen-Tauschbörse,"Ein familienfreundlicher Tauschanlass für Bücher, Spiele und Spielsachen."
ewaste-drive,fr-CH,Collecte de déchets électroniques,"Une collecte de quartier d'une journée pour vieux appareils électroniques, câbles et piles, en vue d'un recyclage certifié."
ewaste-drive,de-CH,Elektroschrott-Sammelaktion,"Eine eintägige Quartiersammlung von Altgeräten, Kabeln und Batterien für zertifiziertes Recycling."
bioblitz,fr-CH,Balade nature / Journée BioBlitz de science citoyenne,Un événement guidé de recensement des espèces où les participant·e·s documentent la biodiversité locale pour de vraies bases de données scientifiques.
bioblitz,de-CH,Naturspaziergang / BioBlitz-Citizen-Science-Tag,"Ein geführter Artenerfassungs-Anlass, bei dem Teilnehmende die lokale Biodiversität für echte wissenschaftliche Datenbanken dokumentieren."
birdhouse-workshop,fr-CH,Atelier nichoirs et hôtels à insectes,Une session pratique où les participant·e·s construisent des nichoirs et des hôtels à insectes pour les jardins et parcs locaux.
birdhouse-workshop,de-CH,Nistkasten- und Insektenhotel-Bauworkshop,"Ein praktischer Workshop, in dem Teilnehmende Nistkästen und Insektenhotels für Gärten und Parks bauen."
give-box,fr-CH,Boîte à dons / bibliothèque publique de rue,Construire et installer une armoire d'échange publique et résistante aux intempéries pour livres ou objets du quotidien.
give-box,de-CH,Give-Box / öffentlicher Bücherschrank,Einen wetterfesten öffentlichen Tauschschrank für Bücher oder Haushaltsgegenstände bauen und aufstellen.
pollinator-planting,fr-CH,Journée de plantation de fleurs sauvages pour pollinisateurs,"Transformer une bande herbeuse, un talus ou un coin de parc en prairie fleurie pour les pollinisateurs."
pollinator-planting,de-CH,Wildblumen- / Bestäuber-Pflanztag,"Einen Randstreifen, Rasenstreifen oder eine Parkecke in eine Wildblumenfläche für Bestäuber verwandeln."
documentary-night,fr-CH,Projection de documentaire + soirée débat,"Projeter un documentaire sur le climat ou la durabilité, suivi d'une discussion animée sur l'action locale."
documentary-night,de-CH,Dokfilm-Abend mit Diskussion,"Einen Klima- oder Nachhaltigkeitsdokfilm zeigen, gefolgt von einer moderierten Diskussion über lokales Handeln."
mending-circle,fr-CH,Cercle de raccommodage / réparation visible de vêtements,Une rencontre sociale récurrente où l'on apprend à réparer et raccommoder visiblement ses propres vêtements.
mending-circle,de-CH,Flickstube / Visible-Mending-Treff,"Ein regelmässiger geselliger Treff, bei dem man lernt, die eigenen Kleider zu reparieren und sichtbar zu flicken."
community-garden,fr-CH,Jardin communautaire,Créer un jardin partagé où les voisin·e·s cultivent ensemble sur un terrain inutilisé.
community-garden,de-CH,Gemeinschaftsgarten,"Einen gemeinsamen Garten aufbauen, in dem Nachbarinnen und Nachbarn auf ungenutztem Land zusammen Gemüse anbauen."
community-compost,fr-CH,Compost de quartier,Créer un site de compostage partagé où les ménages déposent leurs déchets organiques et reçoivent du compost mûr.
community-compost,de-CH,Quartierkompost,"Eine gemeinsame Kompostieranlage aufbauen, bei der Haushalte Grüngut abgeben und fertigen Kompost erhalten."
tool-library,fr-CH,Bibliothèque d'outils / objethèque,Créer une bibliothèque de prêt d'outils et d'équipements pour emprunter au lieu d'acheter.
tool-library,de-CH,Werkzeugbibliothek / Leihlager,"Eine Ausleihe für Werkzeuge und Haushaltsgeräte aufbauen, damit die Nachbarschaft leiht statt kauft."
community-fridge,fr-CH,Frigo partagé / point de partage alimentaire,Installer un frigo public où les surplus alimentaires sont partagés librement entre voisin·e·s et commerces.
community-fridge,de-CH,Offener Kühlschrank / Foodsharing-Punkt,"Einen öffentlichen Kühlschrank aufstellen, über den überschüssige Lebensmittel frei zwischen Nachbarschaft und Geschäften geteilt werden."
food-rescue,fr-CH,Sauvetage et redistribution d'invendus alimentaires,Mettre en place une tournée récurrente qui achemine les surplus alimentaires des commerces vers les œuvres d'entraide et frigos partagés.
