step_slug,language,title,description
litter-pick-s01,fr-CH,Choisir le lieu et la date,"Repérer un site avec des déchets visibles, un accès sûr et des places de parc; fixer une date de week-end dans 3 à 4 semaines."
litter-pick-s01,de-CH,Ort und Datum festlegen,"Einen Standort mit sichtbarem Abfall, sicherem Zugang und Parkplätzen auskundschaften; einen Wochenendtermin in 3–4 Wochen festlegen."
litter-pick-s02,fr-CH,Obtenir l'autorisation du propriétaire ou de la commune,Contacter la commune ou le propriétaire pour confirmer que le nettoyage est autorisé et demander un soutien pour la collecte des déchets.
litter-pick-s02,de-CH,Bewilligung von Eigentümer oder Gemeinde einholen,"Gemeinde oder Grundeigentümer kontaktieren, um die Aktion zu bestätigen und Unterstützung bei der Abfallabfuhr anzufragen."
litter-pick-s03,fr-CH,Organiser l'élimination des déchets,Convenir avec le service de voirie du lieu de collecte des sacs remplis et du tri des recyclables.
litter-pick-s03,de-CH,Abfallentsorgung organisieren,"Mit dem lokalen Entsorgungsdienst vereinbaren, wo volle Säcke abgeholt werden und wie Wertstoffe getrennt werden."
litter-pick-s04,fr-CH,Rassembler le matériel,"Se procurer gants, pinces, sacs et gilets de sécurité; de nombreuses communes les prêtent gratuitement."
litter-pick-s04,de-CH,Ausrüstung beschaffen,"Handschuhe, Greifzangen, Säcke und Leuchtwesten organisieren; viele Gemeinden verleihen diese gratis."
litter-pick-s05,fr-CH,Promouvoir l'événement,"Créer un flyer simple et le diffuser dans les groupes locaux sur les réseaux sociaux, les panneaux d'affichage et les écoles."
litter-pick-s05,de-CH,Anlass bewerben,"Einen einfachen Flyer gestalten und in lokalen Social-Media-Gruppen, an Anschlagbrettern und in Schulen verbreiten."
litter-pick-s06,fr-CH,Préparer un briefing de sécurité,"Rédiger un court briefing couvrant objets coupants, circulation, météo et hygiène; désigner un·e secouriste."
litter-pick-s06,de-CH,Sicherheitsbriefing vorbereiten,"Ein kurzes Briefing zu scharfen Gegenständen, Verkehr, Wetter und Hygiene verfassen; eine Person mit Erste-Hilfe-Kenntnissen bestimmen."
