step_slug,blueprint_slug,step_order,title,description,estimated_hours,remote_friendly
litter-pick-s01,litter-pick,1,Choose location and date,"Scout a site with visible litter, safe access and parking; pick a weekend date 3-4 weeks out.",2,false
litter-pick-s02,litter-pick,2,Get landowner or municipal permission,Contact the municipality or landowner to confirm the cleanup is allowed and ask about waste collection support.,2,true
litter-pick-s03,litter-pick,3,Arrange waste disposal,Agree with the local waste service where filled bags will be collected and how recyclables are separated.,2,true
litter-pick-s04,litter-pick,4,Gather equipment,"Source gloves, litter pickers, bags and hi-vis vests; many municipalities lend these for free.",3,false
litter-pick-s05,litter-pick,5,Promote the event,"Create a simple flyer and post in local social media groups, noticeboards and schools.",3,true
litter-pick-s06,litter-pick,6,Prepare a safety briefing,"Write a short briefing covering sharps, traffic, weather and hygiene; identify a first-aider.",2,true
litter-pick-s07,litter-pick,7,Run the cleanup,"Register attendees, brief them, assign zones, and coordinate collection points during the event.",5,false
litter-pick-s08,litter-pick,8,Document and share results,"Weigh or count bags, photograph the haul and thank volunteers publicly to build momentum for the next one.",2,true
repair-cafe-s01,repair-cafe,1,Define scope and format,"Decide which repair categories to offer first (e.g. electronics, textiles, bikes) and target visitor numbers.",2,true
repair-cafe-s02,repair-cafe,2,Recruit volunteer fixers,"Find 4-8 skilled repairers via community groups, makerspaces and retirement networks; confirm their categories.",5,true
repair-cafe-s03,repair-cafe,3,Secure a venue,"Book a community hall or café with tables, power sockets and good lighting for a half-day slot.",3,false
repair-cafe-s04,repair-cafe,4,Sort insurance and liability,Check the venue's public liability cover and prepare a simple repair disclaimer form for visitors.,3,true
repair-cafe-s05,repair-cafe,5,Assemble tools and spares,"Collect basic toolkits, multimeters, sewing machines and common spare parts; ask fixers what they need.",4,false
repair-cafe-s06,repair-cafe,6,Promote locally,"Design a poster, list the event on local calendars and invite people to register items in advance.",4,true
repair-cafe-s07,repair-cafe,7,Run the event,"Manage the welcome desk, queue visitors to the right fixer, and log each item and outcome.",6,false
repair-cafe-s08,repair-cafe,8,Log repairs and follow up,"Record repair statistics (items fixed, waste diverted), thank fixers and announce the next date.",2,true
clothing-swap-s01,clothing-swap,1,Set format and rules,"Decide the swap mechanics (token per item vs. free-for-all), quality standards and item limits.",2,true
clothing-swap-s02,clothing-swap,2,Book a venue,"Find a free or cheap space with tables, mirrors and a changing corner.",2,false
clothing-swap-s03,clothing-swap,3,Promote and manage sign-ups,Publicise via social media and posters; use a simple sign-up form to estimate attendance.,3,true
clothing-swap-s04,clothing-swap,4,Organise intake and sorting,"Plan how items are checked in, quality-screened and displayed by size and type.",3,false
clothing-swap-s05,clothing-swap,5,Run the swap,"Staff the intake desk, keep rails tidy, and handle the token system during the event.",5,false
clothing-swap-s06,clothing-swap,6,Handle leftovers responsibly,Arrange donation of unclaimed items to a charity shop or textile recycler.,2,false
seed-plant-swap-s01,seed-plant-swap,1,Pick season and venue,"Schedule for early spring or autumn and book a hall, market corner or community garden.",2,false
seed-plant-swap-s02,seed-plant-swap,2,Set swap guidelines,"Write simple rules on labelling, invasive species to exclude, and seed packaging.",2,true
seed-plant-swap-s03,seed-plant-swap,3,Recruit experienced gardeners,Invite 2-3 knowledgeable gardeners to answer questions and identify plants on the day.,2,true
seed-plant-swap-s04,seed-plant-swap,4,Promote to gardening networks,"Share in allotment associations, balcony-gardening groups and local media.",3,true
seed-plant-swap-s05,seed-plant-swap,5,Run the swap,"Set up labelled tables by plant type, manage intake and keep the exchange flowing.",4,false
seed-plant-swap-s06,seed-plant-swap,6,Capture the community,Collect contacts of attendees who want a recurring swap or a future community garden.,1,false
beach-lake-cleanup-s01,beach-lake-cleanup,1,Select shoreline site and tide/weather window,Choose an accessible stretch of shore and a date with a fallback option for bad weather.,2,false
beach-lake-cleanup-s02,beach-lake-cleanup,2,Coordinate with authorities,"Inform the municipality or lake authority, confirm access rules and waste pickup.",2,true
beach-lake-cleanup-s03,beach-lake-cleanup,3,Plan litter data collection,Adopt a simple litter survey protocol so the cleanup contributes data to marine litter research.,3,true
beach-lake-cleanup-s04,beach-lake-cleanup,4,Gather equipment and safety gear,"Source gloves, bags, buckets for sorting, and sun/water safety equipment.",3,false
beach-lake-cleanup-s05,beach-lake-cleanup,5,Promote the event,Publicise with strong before-photos of the site; partner with local water-sports clubs.,3,true
beach-lake-cleanup-s06,beach-lake-cleanup,6,Run cleanup and sort waste,"Brief volunteers, assign zones, and sort collected waste into recyclables and residual.",5,false
beach-lake-cleanup-s07,beach-lake-cleanup,7,Report results,"Submit litter data, publish totals and photos, and thank partners and volunteers.",2,true
fruit-rescue-s01,fruit-rescue,1,Map fruit trees and recruit tree owners,"Invite owners to register trees they cannot harvest; log location, species and ripening window.",4,true
fruit-rescue-s02,fruit-rescue,2,Set the sharing agreement,"Define the split (e.g. thirds to owner, pickers, charity) and a simple liability waiver for climbing/ladders.",2,true
fruit-rescue-s03,fruit-rescue,3,Gather harvesting equipment,"Source ladders, picking bags, crates and fruit pickers; arrange storage between harvests.",3,false
fruit-rescue-s04,fruit-rescue,4,Recruit and schedule pickers,Build a picker list and match small teams to trees as they ripen.,3,true
fruit-rescue-s05,fruit-rescue,5,Run harvest sessions,"Lead safe picking sessions, weigh the harvest and split according to the agreement.",4,false
fruit-rescue-s06,fruit-rescue,6,Distribute surplus,Deliver the charity share to a food bank or community fridge and log totals.,2,false
disco-soup-s01,disco-soup,1,Secure surplus food sources,"Agree with supermarkets, bakeries or markets to donate unsellable but safe produce.",4,true
disco-soup-s02,disco-soup,2,Book venue with kitchen access,"Find a public square or hall with cooking facilities, water and power.",3,false
disco-soup-s03,disco-soup,3,Plan the menu and hygiene protocol,Design flexible recipes for unpredictable ingredients and set food-safety rules for volunteers.,3,true
disco-soup-s04,disco-soup,4,Recruit cooking volunteers and a lead cook,"Find an experienced cook to lead plus 6-10 helpers for chopping, cooking and serving.",3,true
disco-soup-s05,disco-soup,5,Promote as a festive public event,"Market it as a party with purpose: music, free food, and a message about food waste.",3,true
disco-soup-s06,disco-soup,6,Run the event,"Coordinate food collection, communal preparation, serving and the atmosphere on the day.",8,false
disco-soup-s07,disco-soup,7,Share impact,Publish kilograms of food rescued and portions served; credit food donors visibly.,2,true
book-toy-swap-s01,book-toy-swap,1,Choose venue and format,"Book a library, school hall or café and decide swap rules and item quality standards.",2,false
book-toy-swap-s02,book-toy-swap,2,Promote to families,"Reach parents via schools, kindergartens and neighbourhood groups.",3,true
book-toy-swap-s03,book-toy-swap,3,Organise intake and display,Plan quality checks and arrange items by age group and category.,2,false
book-toy-swap-s04,book-toy-swap,4,Run the swap,"Manage intake, keep displays tidy and host a small reading or play corner.",4,false
